2024-08-08 16:33:16 | INFO | controller | args: Namespace(host='0.0.0.0', port=7800, dispatch_method='shortest_queue', ssl=False)
2024-08-08 16:33:16 | ERROR | stderr | INFO:     Started server process [200]
2024-08-08 16:33:16 | ERROR | stderr | INFO:     Waiting for application startup.
2024-08-08 16:33:16 | ERROR | stderr | INFO:     Application startup complete.
2024-08-08 16:33:16 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:7800 (Press CTRL+C to quit)
2024-08-08 16:33:34 | INFO | stdout | INFO:     127.0.0.1:37258 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 16:33:44 | INFO | stdout | INFO:     127.0.0.1:55642 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 16:33:54 | INFO | stdout | INFO:     127.0.0.1:43604 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 16:34:04 | INFO | stdout | INFO:     127.0.0.1:53930 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 16:34:14 | INFO | stdout | INFO:     127.0.0.1:50760 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 16:34:24 | INFO | stdout | INFO:     127.0.0.1:37074 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 16:34:25 | INFO | controller | Register a new worker: http://0.0.0.0:7801
2024-08-08 16:34:25 | INFO | controller | Register done: http://0.0.0.0:7801, {'model_names': ['Qwen1.5-32B-Chat'], 'speed': 1, 'queue_length': 0}
2024-08-08 16:34:25 | INFO | stdout | INFO:     127.0.0.1:37088 - "POST /register_worker HTTP/1.1" 200 OK
2024-08-08 16:34:34 | INFO | stdout | INFO:     127.0.0.1:48012 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 16:35:10 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:35:10 | INFO | stdout | INFO:     127.0.0.1:54596 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:35:55 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:35:55 | INFO | stdout | INFO:     127.0.0.1:46224 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:36:40 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:36:40 | INFO | stdout | INFO:     127.0.0.1:56684 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:37:25 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:37:25 | INFO | stdout | INFO:     127.0.0.1:47352 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:38:10 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:38:10 | INFO | stdout | INFO:     127.0.0.1:40280 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:38:55 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:38:55 | INFO | stdout | INFO:     127.0.0.1:56606 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:39:41 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:39:41 | INFO | stdout | INFO:     127.0.0.1:44402 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:40:26 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:40:26 | INFO | stdout | INFO:     127.0.0.1:47054 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:41:11 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:41:11 | INFO | stdout | INFO:     127.0.0.1:58972 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:41:56 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:41:56 | INFO | stdout | INFO:     127.0.0.1:58566 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:42:41 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:42:41 | INFO | stdout | INFO:     127.0.0.1:49794 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:43:26 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:43:26 | INFO | stdout | INFO:     127.0.0.1:38620 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:44:11 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:44:11 | INFO | stdout | INFO:     127.0.0.1:51912 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:44:56 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:44:56 | INFO | stdout | INFO:     127.0.0.1:44628 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:45:41 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:45:41 | INFO | stdout | INFO:     127.0.0.1:47798 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:46:26 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:46:26 | INFO | stdout | INFO:     127.0.0.1:44030 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:47:11 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:47:11 | INFO | stdout | INFO:     127.0.0.1:57640 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-08-08 16:47:56 | INFO | controller | Receive heart beat. http://0.0.0.0:7801
2024-08-08 16:47:56 | INFO | stdout | INFO:     127.0.0.1:52800 - "POST /receive_heart_beat HTTP/1.1" 200 OK
